date,open,high,low,close,adj close,volume
2020-12-30,105.989998,106.620003,105.779999,105.970001,105.970001,3654100
2020-12-31,106.000000,107.139999,105.620003,106.980003,106.980003,3565700
2021-01-04,107.660004,107.750000,102.139999,103.099998,103.099998,8041500
2021-01-05,102.919998,104.260002,102.800003,103.440002,103.440002,5721900
2021-01-06,102.989998,105.209999,102.910004,104.190002,104.190002,5017200
2021-01-07,104.489998,104.639999,102.949997,103.349998,103.349998,5057000
2021-01-08,103.860001,105.760002,103.419998,105.669998,105.669998,5869700
2021-01-11,105.099998,105.639999,104.269997,104.599998,104.599998,4258000
2021-01-12,104.010002,104.320000,102.309998,102.820000,102.820000,4332600
2021-01-13,102.320000,103.379997,101.489998,102.889999,102.889999,4804500
2021-01-14,103.800003,104.190002,101.709999,101.820000,101.820000,4528300
2021-01-15,101.379997,102.690002,101.209999,102.330002,102.330002,5522900
